Movie Name,Year,Genre,Language
Laxmii,2020,"Horror,Comedy",hi
Ludo,2020,"Crime,Comedy",hi
Chhalaang,2020,"Comedy,Drama",hi
Sir,2018,"Drama,Romance",hi
Suraj Pe Mangal Bhari,2020,"Comedy,Drama",hi
Anwar Ka Ajab Kissa,2013,"Comedy,Drama",hi
Darbaan,2020,Drama,hi
Indoo Ki Jawani,2020,Comedy,hi
Nirvana Inn,2019,"Mystery,Drama,Thriller",hi
Torbaaz,2020,Drama,hi
Eeb Allay Ooo!,2020,"Comedy,Drama",hi
Unpaused,2020,"Comedy,Drama",hi
AK vs AK,2020,"Comedy,Action,Drama,Crime",hi
Coolie No. 1,2020,"Comedy,Drama",hi
Shakeela,2020,"Drama,Romance",hi
Cabaret,2019,"Music,Romance,Drama",hi
Uri: The Surgical Strike,2019,"Action,Drama,War",hi
Battalion 609,2019,"Action,War,Drama",hi
The Accidental Prime Minister,2019,"History,Drama",hi
Why Cheat India,2019,"Drama,Crime",hi
SP Chauhan,2018,Drama,hi
Soni,2019,"Drama,Crime",hi
72 Hours: Martyr Who Never Died,2019,"War,History",hi
Bombairiya,2019,"Comedy,Crime,Drama",hi
Rangeela Raja,2019,"Comedy,Drama",hi
Thackeray,2019,"Drama,History",hi
Manikarnika: The Queen of Jhansi,2019,"History,Drama,Action",hi
Ek Ladki Ko Dekha Toh Aisa Laga,2019,"Romance,Drama",hi
The Fakir of Venice,2019,"Comedy,Drama",hi
Amavas,2019,"Horror,Romance,Thriller",hi
Gully Boy,2019,"Drama,Music",hi
Hum Chaar,2019,Drama,hi
Total Dhamaal,2019,"Comedy,Adventure,Action",hi
Luka Chuppi,2019,"Comedy,Romance",hi
Sonchiriya,2019,"Crime,Action,Drama",hi
The Sholay Girl,2019,"Action,Drama",hi
Hamid,2019,Drama,hi
Photograph,2019,"Drama,Romance",hi
Milan Talkies,2019,"Drama,Romance",hi
Mere Pyare Prime Minister,2019,Drama,hi
22 Yards,2019,Drama,hi
377 Ab Normal,2019,Drama,hi
Kesari,2019,"Action,Drama,History,War",hi
Notebook,2019,"Romance,Drama",hi
Junglee,2019,"Action,Adventure",hi
Romeo Akbar Walter,2019,"Action,Thriller",hi
The Tashkent Files,2019,"Drama,Mystery,Thriller",hi
Blackboard vs Whiteboard,2019,Family,hi
Kalank,2019,"Drama,Romance",hi
Blank,2019,"Action,Thriller",hi
Setters,2019,"Crime,Thriller",hi
Yours Truly,2018,Drama,hi
Badnaam Gali,2019,"Drama,Comedy,Family",hi
Student of the Year 2,2019,"Romance,Comedy,Drama",hi
Chhoriyan Chhoron Se Kam Nahi Hoti,2019,"Action,Drama",hi
De De Pyaar De,2019,"Romance,Comedy",hi
India's Most Wanted,2019,"Action,Thriller",hi
PM Narendra Modi,2019,"Drama,History",hi
Bharat,2019,"Drama,Action",hi
Khamoshi,2019,Thriller,hi
Kissebaaz,2019,Drama,hi
Kabir Singh,2019,"Drama,Romance",hi
Article 15,2019,"Drama,Crime",hi
Malaal,2019,"Romance,Drama",hi
One Day: Justice Delivered,2019,"Crime,Thriller,Drama",hi
Hume Tumse Pyaar Kitna,2019,"Drama,Thriller",hi
Marudhar Express,2019,"Drama,Romance",hi
Super 30,2019,Drama,hi
Family of Thakurganj,2019,"Drama,Action",hi
Jhootha Kahin Ka,2019,"Comedy,Drama",hi
Judgementall Hai Kya,2019,"Comedy,Drama,Thriller",hi
Arjun Patiala,2019,"Comedy,Romance",hi
Khandaani Shafakhana,2019,"Comedy,Drama",hi
Barot House,2019,Thriller,hi
Jabariya Jodi,2019,"Drama,Romance",hi
Pranaam,2019,"Action,Crime,Drama",hi
Batla House,2019,"Action,Drama,Thriller",hi
Mission Mangal,2019,"Drama,History",hi
Posham Pa,2019,"Crime,Drama,Thriller",hi
Chhichhore,2019,"Romance,Comedy,Drama",hi
Dream Girl,2019,"Romance,Comedy",hi
Section 375,2019,"Drama,Crime,Thriller",hi
The Zoya Factor,2019,Romance,hi
Pal Pal Dil Ke Paas,2019,Romance,hi
Prassthanam,2019,"Action,Drama",hi
War,2019,"Action,Thriller,Adventure",hi
The Sky Is Pink,2019,"Romance,Drama,Comedy",hi
